Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade_normalizada,Cidade
RENATO JOSÉ KRAUZE,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RENAULT DO BRASIL S/A,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RENEFF NUTRITION INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Desconhecida,araucaria,Araucária
RENNER HERRMANN SA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RENOR JOÃO SURKAMP,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RENZ DO BRASIL SUPRIMENTOS PARA ENCADERNAÇÃO LTDA,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
REQUIPAL EQUIPAMENTOS CIENTIFICOS L TDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESICONTROL SERVIÇOS AMBIENTAIS S.A,ND,ND,ND,ND,Desconhecida,balsa nova,Balsa Nova
RESICONTROL SOLUÇÕES AMBIENTAIS S.A.,ND,ND,ND,ND,Desconhecida,balsa nova,Balsa Nova
RESIPLASTIC INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Desconhecida,fazenda rio grande,Fazenda Rio Grande
REST. CHINA EXPRESS LTDA - EPP,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE BELLA VISTA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE CHINA EXPRESS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE DOM KINKAS LTDA - EPP,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
RESTAURANTE E LANCHONETE LOKAI LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE E PETISCARIA BELOTTI LTDA - ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE E PIZZARIA SCAVOLLO LTD A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE MADERO LTDA.,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE MENINA LOCATELLI LTDA,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RESTAURANTE PEI LI LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE PIEMONTE GRILL LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE SAUTE GASTRONOMIA - EIRELI,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE SILVA LTDA - ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE SO PEIXINHO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE VENEZA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTAURANTE VITORIA - EIRELI,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESTURANTE R2 LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RESULTA INFORMATICA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REVOCOAT DO BRASIL INDÚSTRIA DE ADESIVOS E SELANTES LTDA.,ND,ND,ND,ND,Desconhecida,pinhais,Pinhais
REVOLUTION COMÉRCIO E DISTRIBUIÇÃO DE ALIMENTOS LTDA EPP,ND,ND,ND,ND,Desconhecida,quitandinha,Quitandinha
REX PNEUS INDÚSTRIA E COMÉRCIO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RHEAL EXTINTORES LTDA - ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RHOMA PRODUTOS E EQUIPAMENTOS HOSPITALARES LTDA,ND,ND,ND,ND,Desconhecida,campo largo,Campo Largo
RHUT DA SILVA SEIXAS ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RIBAS & SARTORI LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RIBAS TECNICA COM DE REGISTRADORAS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RIBASA - RISCHBIETER IND DE BASE S.A,ND,ND,ND,ND,Desconhecida,colombo,Colombo
